,address,category,id,lat,lng,location,name,originalId,subCategory,details,reviews,checkinsCount,usersCount,likes,checkins,talking_about_count,fan_count,Solo,Famille,Couple,Entre amis,Entre collègues
0,10 rue des Immeubles Industriels,attraction,87572,48.849531144829996,2.3928544226342003,Paris,Arcade Street,4d2898c677a2a1cd44da63b7,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=87572,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87572,3704,1811,55,,,,5.0,5.0,5.0,5.0,5.0
1,Cour Bérard,attraction,91835,48.854308646340996,2.3662394285202004,Paris,#Appartement4,5257cb7b11d2de8c3a3433ee,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=91835,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91835,878,679,6,,,,5.0,5.0,5.0,5.0,5.0
2,Parc de la Villette,attraction,83573,48.890631905558,2.3900761307412997,Paris,Pavillon Paul Delouvrier,4adcda0cf964a520ff3421e3,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=83573,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83573,850,517,26,,,,5.0,4.0,4.0,4.0,4.0
3,7 rond-point des Champs-Élysées,attraction,83609,48.868614071405,2.3088401556015,Paris,Artcurial,4adcda10f964a520873521e3,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=83609,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83609,1951,968,32,,,,5.0,4.0,4.0,4.0,4.0
4,60 Rue de Bassano,attraction,84235,48.871659203246004,2.3003911972046,Paris,Espace Culturel Louis Vuitton,4b4cd5eef964a520eac026e3,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=84235,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84235,1799,1225,9,,,,5.0,4.0,4.0,4.0,4.0
5,2 Rue Charles Nodier,attraction,84982,48.884372979613,2.3449059296629,Paris,Marché Saint-Pierre,4b89596ef964a520dd2d32e3,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=84982,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84982,3490,2420,89,,,,5.0,4.0,4.0,4.0,4.0
6,48 Rue Vieille du Temple,attraction,85938,48.858238266037,2.358552493322,Paris,L'Espace des Blancs-Manteaux,4bd4763f29eb9c74529a91e1,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=85938,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85938,2574,1673,50,,,,5.0,4.0,4.0,4.0,4.0
7,7bis rue René Goscinny,attraction,87863,48.830801685139,2.3801647866044,Paris,Galerie Itinerrance,4d810541551ea1cd5d8025c5,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=87863,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87863,2531,1394,34,,,,5.0,4.0,4.0,4.0,4.0
8,12 rue Cantagrel,attraction,88238,48.823472446056,2.3764735307265,Paris,Cité-Refuge De L'Armée Du Salut Le Corbusier,4dd3dc9cd1643acaa1ea41ba,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=88238,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88238,1581,891,13,,,,5.0,4.0,4.0,4.0,4.0
9,Berges de Seine,attraction,88861,48.862290116177995,2.2987466597392,Paris,Photoquai,4e70ab15b99302402c5c8413,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=88861,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88861,881,407,8,,,,5.0,4.0,4.0,4.0,4.0
10,91 Rue De l'assomption,attraction,91773,48.855155944824,2.2669901847838996,Paris,fondation hippocrene,524bd6a311d27f3b6b1712ac,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=91773,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91773,2190,1181,20,,,,5.0,4.0,4.0,4.0,4.0
11,17 avenue d'Iéna,attraction,83758,48.866173067807,2.2944579342768,Paris,Goethe Institut,4adcda22f964a520163a21e3,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=83758,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83758,877,484,2,,,,4.0,4.0,4.0,4.0,4.0
12,43 rue du Borrégo,attraction,88466,48.873452199176995,2.4017656752526,Paris,MJC Les Hauts de Belleville,4e11fae9e4cdef074b783072,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=88466,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88466,3851,2602,40,,,,4.0,4.0,4.0,4.0,4.0
13,Route de la muette,attraction,88978,48.878239745943006,2.2609210481552,Paris,Club Hippique Jardin D'acclimatation,4e882dc561af78e56049cb1a,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=88978,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88978,365,204,7,,,,4.0,4.0,4.0,4.0,4.0
14,88 Rue de Ménilmontant,attraction,84119,48.86876308,2.391759,Paris,La Miroiterie,4b3d05b8f964a5201e8c25e3,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=84119,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84119,1003,714,14,,,,4.0,4.0,4.0,4.0,4.0
15,19 rue des Frigos,attraction,85391,48.83133672092,2.3793693618117997,Paris,Les Frigos,4baca14ff964a52073ff3ae3,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=85391,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85391,110,40,0,,,,4.0,4.0,4.0,4.0,4.0
16,87 Quai De La Gare,attraction,90862,48.837053999999995,2.374154,Paris,Back To The Lab...,5130789ce4b01507dc614173,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=90862,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90862,3940,1817,38,,,,4.0,4.0,4.0,4.0,4.0
17,29 avenue Théophile Gautier,attraction,91565,48.849952378035,2.2727438460181,Paris,Studio 29 TG,521f0b6b498ec4571974124d,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=91565,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91565,830,414,6,,,,4.0,4.0,4.0,4.0,4.0
18,220 Rue De Courcelles,attraction,91753,48.889650215416005,2.3004277818895,Paris,Conservatoire Municipal Musique Et Danse Claude Debussy,5246dcb311d2e9c1a29ab4d3,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=91753,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91753,628,489,9,,,,4.0,4.0,4.0,4.0,4.0
19,Rue Dénoyez,attraction,84197,48.87207822115,2.3783903594526,Paris,Street Art - Rue Dénoyez,4b49c699f964a520777326e3,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=84197,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84197,4901,2560,116,,,,4.0,4.0,4.0,4.0,4.0
20,Place des Abbesses,attraction,88051,48.884762,2.338579,Paris,"""Le Mur des """"Je t'aime""""""",4da5d99e93a01f42facf4bf5,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=88051,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88051,184,149,3,,,,4.0,4.0,4.0,4.0,4.0
21,Rue Saint-Fargeau,attraction,90323,48.871382407709,2.4032997094807,Paris,Space Invader,50603157e4b0a47ead63b42f,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=90323,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90323,463,278,3,,,,4.0,4.0,4.0,4.0,4.0
22,58-62 Rue de Mouzaía,attraction,90816,48.880151571906005,2.397476881319,Paris,B.L.O.C,511f6154e4b02b37a1d3fd62,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=90816,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90816,1569,664,17,,,,4.0,4.0,4.0,4.0,4.0
23,Les Jardins de Bagatelle,attraction,90823,48.871750939874,2.2474551774479,Paris,"Circulation(s), Festival de la Jeune Photographie Européenne",511ffe7fe4b02c9c5f7cec4f,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=90823,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90823,3638,1816,41,,,,4.0,4.0,4.0,4.0,4.0
24,Metro Père Lachaise,attraction,90872,48.863311994672,2.3875656723976,Paris,Pauline's sofa,51334a8fd86c20fcb5b75a4d,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=90872,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90872,2228,1122,46,,,,4.0,4.0,4.0,4.0,4.0
25,4 Rue De L'Ourcq,attraction,91038,48.887953359664,2.3843865775559,Paris,Point G,516848c9e4b0cb9358e819db,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=91038,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91038,1290,831,18,,,,4.0,4.0,4.0,4.0,4.0
26,23 Rue Jean Maridor,attraction,91692,48.838710738155,2.2867155971236004,Paris,L'Atelier De La Charpenterie,523da304498edcd753f2f00c,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=91692,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91692,3331,1784,50,,,,4.0,4.0,4.0,4.0,4.0
27,2-16 rue des Cévennes,attraction,84317,48.84416670305,2.2764113365477003,Paris,Studios Rive Gauche,4b547d43f964a5202cbd27e3,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=84317,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84317,1785,1095,30,,,,4.0,3.0,4.0,3.0,4.0
28,48 rue la Boétie,attraction,84942,48.873956231886,2.3131628217196,Paris,Fédération Nationale du Crédit Agricole,4b855fa0f964a520c25931e3,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=84942,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84942,2345,1579,43,,,,4.0,3.0,4.0,3.0,4.0
29,Journal le Monde,attraction,85581,48.829451275481006,2.3481292378003,Paris,Auditorium du Monde,4bbd87158ec3d13a13341c28,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=85581,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85581,3053,1863,47,,,,4.0,3.0,4.0,3.0,4.0
30,9 avenue Gabriel,attraction,86366,48.867311982804004,2.3178148269653,Paris,Studio Gabriel,4c01205b9a950f47619008c6,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=86366,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86366,697,400,8,,,,4.0,3.0,4.0,3.0,4.0
31,7 rue Scribe,attraction,87752,48.871111070135,2.3300971342626005,Paris,Bloomberg,4d64d994823ca35dd055f888,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=87752,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87752,2839,1956,28,,,,4.0,3.0,4.0,3.0,4.0
32,32 rue fontaine,attraction,88718,48.881560775378,2.3341736197472005,Paris,Sam and Don Agency,4e53dcd63151427f74319709,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=88718,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88718,1966,865,11,,,,4.0,3.0,4.0,3.0,4.0
33,"37, Rue Saint-Maur",attraction,89248,48.861403179554,2.3808142963917,Paris,21-juin,4ede56369adfe5cbe3c8d03d,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=89248,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89248,1164,636,8,,,,4.0,3.0,4.0,3.0,4.0
34,"5 Rue de Lobau, 75004 Paris",attraction,89712,48.856015967161,2.352973875279,Paris,Mairie de Paris - Auditorium,4f871872e4b057e27e648705,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=89712,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89712,8524,5121,101,,,,4.0,3.0,4.0,3.0,4.0
35,42 Rue Du Borrego,attraction,90100,48.873625404649,2.4019507922519,Paris,AFCI (OFII),500e5695e4b01248665dea83,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90100,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90100,3889,1516,38,,,,4.0,3.0,4.0,3.0,4.0
36,2ème Étage,attraction,90413,48.830364,2.376773,Paris,Salle Grand Place,506d9ed4e4b08b87bb23a8f5,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90413,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90413,372,284,8,,,,4.0,3.0,4.0,3.0,4.0
37,8 Rue Rasselins,attraction,90476,48.853462196533,2.4104194949188997,Paris,Liberty Rock Studio,5083b83de4b0d5064baf40f4,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90476,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90476,503,251,4,,,,4.0,3.0,4.0,3.0,4.0
38,32 Rue Guersant,attraction,90493,48.881732363118,2.289175953398,Paris,Black Room,508a6fdae4b0499bc5cfde7c,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90493,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90493,147,88,2,,,,4.0,3.0,4.0,3.0,4.0
39,14 Rue Saint-Fiacre,attraction,90614,48.870480692164,2.345860004425,Paris,Le Saint-Fiacre,50bf311ae4b0baad5555aa9a,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90614,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90614,179,139,3,,,,4.0,3.0,4.0,3.0,4.0
40,196 rue saint martin,attraction,90726,48.863349181451,2.3523922008743,Paris,espace saint martin,50f55337e4b0e684b982011f,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=90726,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90726,3,3,0,,,,4.0,3.0,4.0,3.0,4.0
41,73 Rue De Grenelle,attraction,91138,48.855064512751,2.3238748617791,Paris,Istituto Italiano Di Cultura,5187b91d498e17ced4b4531c,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=91138,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91138,2777,1852,42,,,,4.0,3.0,4.0,3.0,4.0
42,54 rue de Seine,attraction,91155,48.85291139338899,2.3368561118908997,Paris,Studio Acousti,5191fc60498eebef6ba935b1,Auditorium,http://tour-pedia.org/api/getPlaceDetails?id=91155,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91155,28290,11211,188,,,,4.0,3.0,4.0,3.0,4.0
