,time,distance,heuristic,cityDep_id,cityArr_id
0,23626,680933,589760.6976529538,1000,1
1,12090,333459,282081.34784103394,10000,1
2,620,2439,1738.7654479325624,100000,1
3,14237,407741,321433.3849307074,1000,2
4,26009,770775,650590.2407147386,10000,2
5,26294,777302,661694.2956253729,100000,2
6,18164,539327,360109.5378048494,1000,3
7,15730,458943,388163.8331271546,10000,3
8,16015,465470,393859.8042101262,100000,3
9,493,1531,1010.3280483239255,1000,4
10,32123,985020,714031.0930404903,10000,4
11,22666,676802,589406.8374832728,100000,4
12,19054,560640,467646.4347437825,1000,5
13,30826,923674,608901.7622331644,10000,5
14,31111,930201,686366.866686841,100000,5
15,19302,585246,465150.933974282,1000,6
16,23591,705835,611159.8593715767,10000,6
17,13410,384591,342954.17708993016,100000,6
18,34288,971427,737153.6795606149,1000,7
19,6120,162135,129811.32403524983,10000,7
20,16692,487549,397557.05337644526,100000,7
21,8622,241678,196611.84114486165,1000,8
22,25281,755542,639120.9920723768,10000,8
23,24899,748612,596900.0391275735,100000,8
24,8623,243362,210824.02356812838,1000,9
25,29522,928648,699480.4835275484,10000,9
26,19780,588550,499859.20803681435,100000,9
27,22838,694685,554326.2381383983,1000,10
28,21944,670260,589690.1390316674,10000,10
29,11763,349016,309943.76621711464,100000,10
30,28744,857581,663887.4938471894,1000,11
31,17929,537582,440501.0207174213,10000,11
32,8531,195552,176583.7235545293,100000,11
33,27471,813529,659002.5559301121,1000,12
34,6691,189034,156595.74226876497,10000,12
35,5739,144750,130273.71657787338,100000,12
36,30445,894813,791989.4375384281,1000,13
37,12988,365022,279527.4123620832,10000,13
38,8547,225567,204362.17074042078,100000,13
39,18174,540357,310587.4901039742,1000,14
40,17822,515660,431704.75170833373,10000,14
41,18107,522187,411390.672982879,100000,14
42,16424,470522,367310.2582598401,1000,15
43,28196,833556,668516.2175712477,10000,15
44,28481,840083,696240.4075521253,100000,15
45,20401,633194,457153.5523927256,1000,16
46,20474,617931,530846.0163076617,10000,16
47,10293,296687,265220.0670799306,100000,16
48,29703,883180,703176.3800151717,1000,17
49,30448,910740,785678.3635703218,10000,17
50,20267,589496,505265.8943343094,100000,17
51,17719,534127,381724.48546372954,1000,18
52,18960,571646,441421.1114770461,10000,18
53,19245,578173,483589.01751925814,100000,18
54,24083,669225,498444.60470218037,1000,19
55,10094,271158,218360.14138521324,10000,19
56,10952,312937,262011.35455001454,100000,19
57,22597,679886,498726.2070675583,1000,20
58,18113,530722,457471.9864383948,10000,20
59,7932,209478,185326.89257353474,100000,20
60,13523,374509,275038.9591431549,1000,21
61,19834,593663,438260.5222198364,10000,21
62,14110,422072,346539.7533019153,100000,21
63,28388,825327,703835.4534427755,1000,22
64,12321,362454,293304.925289415,10000,22
65,6764,144488,116209.57927433695,100000,22
66,10328,291563,250443.52026837127,1000,23
67,23077,730188,519240.10083048645,10000,23
68,13335,390090,344838.74230088375,100000,23
69,13431,388617,321810.61508852645,1000,24
70,25203,751651,624479.7447551852,10000,24
71,25488,758178,638255.6402104857,100000,24
72,10177,291341,235153.9808427807,1000,25
73,23967,711740,604850.9195178106,10000,25
74,24252,718267,579837.2892079479,100000,25
75,19359,587990,424825.6187437279,1000,26
76,18478,580118,450567.2057491654,10000,26
77,8736,240020,205574.5608441371,100000,26
78,4839,95782,67769.8785912044,1000,27
79,31494,930209,709030.2481887428,10000,27
80,26511,769727,611225.9586450558,100000,27
81,32251,934354,714076.2971212767,1000,28
82,513,2769,1674.0571907745823,10000,28
83,11162,328702,280325.0821919027,100000,28
84,18341,543685,363284.0010999499,1000,29
85,15755,465356,385727.09959935496,10000,29
86,16040,471883,393432.19575250614,100000,29
87,26071,734101,541310.8763801648,1000,30
88,11505,277895,208404.0540444129,10000,30
89,14191,413269,327118.18967274576,100000,30
90,27469,845124,636080.5022963311,1000,31
91,19847,578058,475087.81413880765,10000,31
92,9654,235046,200531.32157816231,100000,31
93,18872,560958,481333.0399558743,1000,32
94,15109,470520,342518.42334653845,10000,32
95,5368,130422,109828.26558863361,100000,32
96,30307,857592,649842.7511558916,1000,33
97,10300,276326,174780.9844928121,10000,33
98,18427,536760,388833.65289192565,100000,33
99,26568,796142,649453.4201780054,1000,34
100,16099,480114,371457.2141194301,10000,34
101,6355,134113,112468.30406851525,100000,34
102,7556,213500,155484.77044029455,1000,35
103,30132,912234,760355.6803829672,10000,35
104,27979,854414,688440.7870749102,100000,35
105,22463,672398,585364.6033206655,1000,36
106,11915,338166,288617.79348846007,10000,36
107,1585,9752,7874.304798212201,100000,36
108,30617,878713,673631.2888934403,1000,37
109,3179,59152,48606.55615415575,10000,37
110,13709,346917,282987.73271593073,100000,37
111,30711,904209,800500.5761110476,1000,38
112,13178,372551,278349.63925535494,10000,38
113,8813,234963,213404.0807662018,100000,38
114,23806,692670,598273.2343091005,1000,39
115,12326,345714,287139.0739783855,10000,39
116,2449,18310,12776.571109016708,100000,39
117,30856,906203,802124.9096339375,1000,40
118,13323,374558,280419.09160858765,10000,40
119,8958,236957,214863.05643255622,100000,40
120,23575,672206,574685.023792065,1000,41
121,14541,414046,353790.4080969963,10000,41
122,4631,94546,72886.4782773318,100000,41
123,19346,557020,456916.4732043233,1000,42
124,31118,920054,607605.5770832134,10000,42
125,31403,926581,680807.5219092766,100000,42
126,22480,671710,580789.172039004,1000,43
127,12460,352693,297607.33635368693,10000,43
128,2550,33193,17185.13043048498,100000,43
129,12004,333020,273759.1433628952,1000,44
130,23344,684518,584803.9657036647,10000,44
131,23629,691045,577969.255645485,100000,44
132,16188,488712,342895.5991620395,1000,45
133,21738,677954,519615.62502266676,10000,45
134,11996,337856,294733.94062880176,100000,45
135,23174,686000,592351.3909176356,1000,46
136,12304,349792,291338.6014187253,10000,46
137,2181,14101,12097.422521522798,100000,46
138,7293,194705,150213.86671253934,1000,47
139,35967,1134314,820175.2872515962,10000,47
140,26225,794216,653085.5573012471,100000,47
141,14338,422790,350980.79370627133,1000,48
142,26100,810722,639893.1676378312,10000,48
143,16358,470624,398636.1146724143,100000,48
144,32354,964466,818226.1030507452,1000,49
145,15075,462371,371318.4396759398,10000,49
146,10456,295220,235976.27753329638,100000,49
147,23542,681820,594584.7527843275,1000,50
148,12492,347879,287502.51784578926,10000,50
149,2109,12414,9994.714837999192,100000,50
150,17483,509106,394410.8054386692,1000,51
151,18303,509478,360756.0246622488,10000,51
152,9083,247769,197433.3857034834,100000,51
153,23295,678033,590505.9257901062,1000,52
154,12897,351581,291548.4728652834,10000,52
