,time,distance,heuristic,cityDep_id,cityArr_id
0,620,2439,1738.7654479325624,1000,1
1,23626,680933,589760.6976529538,10000,1
2,13943,386459,342523.3456239864,100000,1
3,26294,777302,661694.2956253729,1000,2
4,14237,407741,321433.3849307074,10000,2
5,31991,988641,697540.067035628,100000,2
6,16015,465470,393859.8042101262,1000,3
7,18164,539327,360109.5378048494,10000,3
8,22732,685393,517199.76650799095,100000,3
9,22666,676802,589406.8374832728,1000,4
10,493,1531,1010.3280483239255,10000,4
11,18747,583758,465506.91884352214,100000,4
12,31111,930201,686366.866686841,1000,5
13,19054,560640,467646.4347437825,10000,5
14,36808,1141540,790514.0828638526,100000,5
15,13410,384591,342954.17708993016,1000,6
16,19302,585246,465150.933974282,10000,6
17,176,428,381.97112822389084,100000,6
18,16692,487549,397557.05337644526,1000,7
19,34288,971427,737153.6795606149,10000,7
20,28726,861852,710307.5191729716,100000,7
21,24899,748612,596900.0391275735,1000,8
22,8622,241678,196611.84114486165,10000,8
23,26376,822578,585259.0955660656,100000,8
24,19780,588550,499859.20803681435,1000,9
25,8623,243362,210824.02356812838,10000,9
26,11756,351334,276275.90197528066,100000,9
27,11763,349016,309943.76621711464,1000,10
28,22838,694685,554326.2381383983,10000,10
29,4384,103738,96743.81339103193,100000,10
30,8137,194170,176583.7235545293,1000,11
31,28744,857581,663887.4938471894,10000,11
32,14009,382352,282956.81639859284,100000,11
33,5739,144750,130273.71657787338,1000,12
34,27456,813527,659002.5559301121,10000,12
35,17773,519053,471825.5673920323,100000,12
36,8547,225567,204362.17074042078,1000,13
37,30395,896193,791989.4375384281,10000,13
38,20712,601719,508441.749788696,100000,13
39,18107,522187,411390.672982879,1000,14
40,18174,540357,310587.4901039742,10000,14
41,21779,668909,498820.5045157379,100000,14
42,28481,840083,696240.4075521253,1000,15
43,16424,470522,367310.2582598401,10000,15
44,34178,1051422,743637.6729809932,100000,15
45,10293,296687,265220.0670799306,1000,16
46,20401,633194,457153.5523927256,10000,16
47,3789,90247,80618.21045260775,100000,16
48,20267,589496,505265.8943343094,1000,17
49,29703,883180,703176.3800151717,10000,17
50,11468,296073,255419.06970337458,100000,17
51,19245,578173,483589.01751925814,1000,18
52,17719,534127,381724.48546372954,10000,18
53,26212,796293,604758.2003795864,100000,18
54,10952,312937,262011.35455001454,1000,19
55,24083,669225,498444.60470218037,10000,19
56,20890,636249,496321.92726066,100000,19
57,7932,209478,185326.89257353474,1000,20
58,22614,683826,498726.2070675583,10000,20
59,7093,187435,157780.57479823302,100000,20
60,14110,422072,346539.7533019153,1000,21
61,13523,374509,275038.9591431549,10000,21
62,17482,533591,389535.2178587789,100000,21
63,6764,144488,116209.57927433695,1000,22
64,28388,825327,703835.4534427755,10000,22
65,17775,505884,411872.2524746991,100000,22
66,13335,390090,344838.74230088375,1000,23
67,10328,291563,250443.52026837127,10000,23
68,13118,324910,263268.3973738881,100000,23
69,25488,758178,638255.6402104857,1000,24
70,13431,388617,321810.61508852645,10000,24
71,31185,969517,682819.7941332038,100000,24
72,24252,718267,579837.2892079479,1000,25
73,10177,291341,235153.9808427807,10000,25
74,27931,872241,594716.203992684,100000,25
75,8736,240020,205574.5608441371,1000,26
76,19359,587990,424825.6187437279,10000,26
77,7827,213310,169894.81633945255,100000,26
78,26511,769727,611225.9586450558,1000,27
79,4839,95782,67769.8785912044,10000,27
80,22593,676682,520500.1645197079,100000,27
81,11162,328702,280325.0821919027,1000,28
82,32251,934354,714076.2971212767,10000,28
83,23196,703005,611142.2220386105,100000,28
84,16040,471883,393432.19575250614,1000,29
85,18341,543685,363284.0010999499,10000,29
86,22899,691695,518970.6800116253,100000,29
87,14191,413269,327118.18967274576,1000,30
88,26071,734101,541310.8763801648,10000,30
89,24129,736580,573291.9705368222,100000,30
90,9260,233664,200531.32157816231,1000,31
91,27469,845124,636080.5022963311,10000,31
92,10708,294620,236245.352744053,100000,31
93,5368,130422,109828.26558863361,1000,32
94,18872,560958,481333.0399558743,10000,32
95,11891,338257,270797.2634964258,100000,32
96,18427,536760,388833.65289192565,1000,33
97,30307,857592,649842.7511558916,10000,33
98,28365,860071,670831.2733880206,100000,33
